avengers,93242392392,"My son, who is 8 years old, hasn't returned from the park since this afternoon. He was wearing a red t-shirt and blue shorts",Child safety,"""The park""","An 8-year-old child named by the user as 'my son' is missing. He was last seen wearing a red t-shirt and blue shorts at 'The park'. The user is located at coordinates 18.5196, 73.8554."
aryan ,9304344919,my account has been hacked.,Cyber crime incident,"The user location is not directly related to the query, but it can be recorded for further investigation if necessary.","User ""aryan"" reported that his account has been hacked. The user's phone number is ""9304344919"". No other specific details were provided in the query."
aryan ,9304344919,my account has been hacked today.,Cyber crime incident,Not provided in the user query,The user has reported that their account has been hacked. This is a clear indication of a cyber crime incident.
aryan ,9304344919,my account has been hacked today.,Cyber crime incident,phising.,aryan agra,today.,nobody.,yes.
aryan ,9304344919,my daughter is in trouble.,Women help desk,The user location provided is not related to the incident.,The user has mentioned that their daughter is in trouble. This indicates that they may require assistance related to women's safety or domestic violence.
aryan ,9304344919,i got hit by car today.,Road accident,"The user location provided, ""18.5196, 73.8554"", can be considered as the location of the incident.","The user stated that they ""got hit by car today"". This indicates that a road accident has occurred. There's no mention of any other specific details or individuals in the query."
pappu,93043454333,i got hit by car today.,Road accident,"18.5196, 73.8554""","User ""pappu"" was involved in a road accident."
aryan ,bucket list,wqr,Unknown,,
deepesh,9304344919,dgsd,"""issue recorded""","""18.5196, 73.8554""",
aryan ,93043454333,"efesdf
",issue recorded, (Insert User Location here),User query does not contain any relevant information for classification.
,,my 25 year old daughter is in trouble.,Women help desk,Not provided in the query,25.
,,my 30 year old son collapsed due to fever.,Public healthcare,"18.5196, 73.8554",30 year old son collapsed due to fever.
,,my 30 year old son collapsed due to fever.,Public healthcare,"18.5196, 73.8554",30 year old son collapsed due to fever.
,,i met with an road accident.,Road accident,"(18.5196, 73.8554)",User reported a road accident.
,,i met with an road accident.,Road accident,"(18.5196, 73.8554)",User reported a road accident.
,,i met with an road accident.,Road accident,"(18.5196, 73.8554)",User reported a road accident.
,,my daughter is in trouble.,women help desk,"18.5196, 73.8554",daughter in trouble.
,,i met with an accident.,Road accident,"18.5196, 73.8554",
,,i met with an accident.,Road accident,"18.5196, 73.8554",
,,my 25 year old daughter is in trouble.,Women help desk,Not provided by user,Daughter is in trouble.
,,i got hit by car .,Road accident,"""1.2897, 103.8501""",User was hit by a car.
,,i got hit by car .,Road accident,"""1.2897, 103.8501""",User was hit by a car.
,,"i got sick , i need help .",Public healthcare,"Coordinates 1.2897, 103.8501.",User is in need of help due to falling sick.
,,i hit by car today.,Road accident,"1.2897, 103.8501",user was hit by a car.
,,my 25 old old daughter is facing some issue.,Issue Recorded,"1.2897, 103.8501]",The user has reported an issue regarding their 25-year-old daughter. The nature of the issue is not clear from the query.
,,my 25 old old daughter is in trouble.,Issue Recorded,Not provided in the query,"Daughter in trouble, age 25"
,,my 25 old old daughter is in trouble.,Issue Recorded,Not provided in the query,"Daughter in trouble, age 25"
,,i am facing some trouble.,issue recorded,"1.2897, 103.8501",
,,my daughter is in trouble.,"Women help desk, Child safety",Not provided,daughter in trouble
,,my 25 year daughter is in trouble.,Women help desk,Not specified in the query,Daughter in trouble.
,,"i saw 2 guys fighting in front of me.
",incident,"""1.2897, 103.8501""",Two guys fighting.
,,"i saw 2 guys fighting with knife.
",Road accident,"1.2897, 103.8501",2 guys fighting with knife. This may imply a physical altercation leading to a road accident. Exercise caution and contact local law enforcement if the situation warrants it.
,,"i saw 2 guys having gun and threteining.
",murder / serious crime incident,"1.2897, 103.8501",Two guys with guns threatening.
,,"i got sick , i need help.",Public healthcare,"1.2897, 103.8501",The user is seeking help related to their health.
,,i hit by car today.,Road accident,"1.2897, 103.8501",user was hit by a car.
,,my daughter is in trouble.,"Women help desk, Child safety",Not provided,daughter in trouble
,,my 25 year daughter is in trouble.,Women help desk,Not specified in the query,Daughter in trouble.
,,i saw 2 guys fighting in front of me.,Incident Type Unclear,"""User's current location (1.2897, 103.8501)""",
,,i saw 2 guys fighting in front of me.,Incident Type Unclear,"""User's current location (1.2897, 103.8501)""",
,,i saw 2 guys having gun and thretening me .,Serious crime incident,"(1.2897, 103.8501)",Two men with guns threatening the user.
,,i saw 2 guys having gun and threatening me .,murder / serious crime incident,"""1.2897, 103.8501""",Two guys with guns threatening user.
,,i saw 2 guys having gun and threatening me .,murder / serious crime incident,erw,rew,dsf,dfsf,sdfds,dsfs
,,i saw 2 guys having gun and threatening me .,murder / serious crime incident,"""1.2897, 103.8501""",Two guys with guns threatening user.
,,i got hit by car today.,Road accident,"18.5196, 73.8554",
,,i got fired today.,issue recorded, Not applicable in this scenario,user got fired from their job.
,,i want help for my daughter.,Women help desk,"User Location (18.5196, 73.8554)",daughter
,,i am in trouble with a man standing front of me holding gun.,Cyber crime incident,[User Location],"Man with a gun, potential threat to personal safety. It is important to note that the provided user query does not necessarily indicate a cyber crime incident. However, given the potential danger and the fact that no clear category can be determined from the query, it is best to err on the side of caution and treat this as a potential cyber crime incident. The user's location information is included for potential emergency response purposes."
,,i am in trouble with a man standing front of me holding gun to kill me.,Cyber crime incident,"[user location] ""18.5196, 73.8554""","Man with a gun. This query suggests a potential threat to personal safety, however, the context does not explicitly mention a cyber crime. The term ""trouble"" can be interpreted in multiple ways. The user's location and the mention of a gun indicate a serious situation that might involve physical harm, making it more likely to be a non-cyber crime incident. However, given the ambiguity, this query could also potentially be a cry for help in a cyber-bullying or stalking situation. It's important to follow up with the user and gather more context to determine the actual incident type."
,,i am in trouble with a man standing front of me holding gun to kill me.,Cyber crime incident,"[user location] ""18.5196, 73.8554""","Man with a gun. This query suggests a potential threat to personal safety, however, the context does not explicitly mention a cyber crime. The term ""trouble"" can be interpreted in multiple ways. The user's location and the mention of a gun indicate a serious situation that might involve physical harm, making it more likely to be a non-cyber crime incident. However, given the ambiguity, this query could also potentially be a cry for help in a cyber-bullying or stalking situation. It's important to follow up with the user and gather more context to determine the actual incident type."
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Anonymous,Anonymous,i am in trouble with a man standing front of me holding gun to kill me.,Cyber crime incident,dsfd,dsfsd,dsfsd,dsfsd,sdfsdf
,,my daughter is in trouble.,Women help desk,Not provided in the query.,Daughter in trouble.
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Anonymous,Anonymous,my daughter is in trouble.,Women help desk,sdfs,sdfsd,dsfsdfds,dsf,hfgfhfgh
,,my daughter is in trouble.,Women help desk,Not provided in the query.,Daughter in trouble.
,,my daughter is in trouble.,Child safety,None,The user is expressing concern for their daughter's safety. This matches the child safety category.
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Anonymous,Anonymous,my daughter is in trouble.,Child safety,,,,,
,,my daughter is in trouble.,Women help desk,Not provided in the query.,Daughter in trouble.
,,my daughter is in trouble.,Women help desk,Not provided in the query.,Daughter in trouble.
,,my daughter is in trouble.,women help desk,"""User Location"" (18.5196, 73.8554)","""my daughter is in trouble"""
,,my daughter is in trouble.,women help desk,"""User Location"" (18.5196, 73.8554)","""my daughter is in trouble"""
,,my mother got hit by car today in the evening.,Road accident,The user's mother was hit by a car. Assuming the location mentioned by the user is the location of the accident.,The mother was involved in a road accident in the evening.
,,my mother got hit by car today in the evening.,Road accident,sdfsd,jioho,hjkhgkg,ghjhgjh,gjghj]
,,i got sick today.,Public healthcare,"(User Location) ""18.5196, 73.8554""",User reported feeling sick.
,,i got sick today.,Public healthcare,gfhfg,gfdg,fdgdfg,fghdfhgfh,gfhfghf
,,i got sick today.,Public healthcare,"(User Location) ""18.5196, 73.8554""",User reported feeling sick.
,,i got sick today.,Public healthcare,sdfsdf,turtu,hgjghj,ghjghjgh,gjghjgh
,,my account got hacked toaday.,Cyber crime incident,Not provided,Account hacked.
,,my account got hacked toaday.,Cyber crime incident,ewrwer,fsdfgsd,fdgdf,fghfgh,fdgdfg
,,my daughter is in trouble.,Women help desk,[User Location],daughter in trouble
,,my daughter is in trouble.,Women help desk,fdsfs,hjgjgh,gfhfghfgh,fgjfgjgfjfgjfgj,fhfghgfh
,,i got hit by car today.,Road accident,"""12.9791011, 77.5913005""",The user has been involved in a road accident.
,,my daughter is in trouble.,Women help desk,Not provided by the user,Daughter in trouble.
,,my parents got hit by car today.,Road accident,"The location is not mentioned in the query. Please provide more details if possible, such as city or street name.",The user reports that their parents have been involved in a car accident.
,,my parents got hit by car today.,Road accident,fsdfsdfsd,fsdfsdfsdf,sdgsdgsd,sdgsdg,sdgsdg
,,"
",Road accident,3rd Avenue and Maple Street.,"Car accident, injuries."
,,i got sick today.,Public healthcare,Not available in the user query.,"The user has mentioned that they are sick, indicating a need for medical assistance. This falls under the public healthcare category."
,,i got sick today.,Public healthcare,Not available in the user query.,"The user has mentioned that they are sick, indicating a need for medical assistance. This falls under the public healthcare category."
,,i got sick today.,Public healthcare,User's current location (if available) or user provided location (if mentioned),"User is reporting an illness, which may require medical attention."
,,my daughter is in trouble.,Women help desk,Daughter's location (to be determined),Daughter in trouble.
,,"my leg is broken , i need help.",road accident,"(18.5196, 73.8554)",The user has reported a road accident and needs help. They have specified their location. No other details have been provided in the query.
,,"my leg is broken by an accident, i need help.",Road accident,"18.5196, 73.8554",The user has been involved in a road accident and has a broken leg. They require help.
,,"my leg is broken by an accident, i need help.",Road accident,sdfsfsd,dsfsdf,sdfsdfs,dsfdsf,dfsdfsd
,,my card got blocked by thrid party.,Cyber crime incident,Not specified in the user query.,"The user mentioned that their card got blocked by a third party, which indicates a potential cybercrime incident."
,,"i got a very bad headache today , need help.",Public healthcare,"Not provided, current location is (18.5196, 73.8554)",User is experiencing a headache and is seeking help.
,,my account got hacked.,Cyber crime incident,Not mentioned in the query.,User reported that their account has been hacked.
,,i got involve in car accident.,Road accident,"The user query does not provide any specific location details. The user location provided with the query is in the format of latitude and longitude, which cannot be directly used to identify a specific location.",The user has mentioned that they have been involved in a car accident. No other details about the incident have been provided in the query.
,,my card is blocked seems suspicious.,Cyber crime incident,Unknown,"User's credit card is blocked, possibly due to fraudulent activity."
,,my card is blocked seems suspicious.,Cyber crime incident,sdfsdf,dsfsd,dfsd,dsfsdf,,
,,my card is blocked looks suspicious.,Cyber crime incident,Unknown,"User's card has been blocked and appears suspicious, implying a possible cyber crime incident."
,,my card is blocked .,Cyber crime incident,Not provided in the query,User's credit card is blocked.
,,"my card is blocked , seems suspicious.",Cyber crime incident,Not provided by user,"User's card has been blocked, which may suggest unauthorized access or fraudulent activity."
,,"my card is blocked, seems suspicious.",Cyber crime incident,Unknown,"User's credit card has been blocked, possibly due to fraudulent activity."
prateek ,92439324234,my daughter is in trouble.,women help desk,Unknown (could be residential or public location),Daughter in trouble.
,,i got in road accident.,Road accident,"20, 78",User reported a road accident.
,,i got in road accident.,Road accident,fdsds,sfsd,dsfsd,sdfds,sdfsd
,,"my card got block , seems suspicious.",Cyber crime incident,Unknown,"The user has reported that their card has been blocked and finds it suspicious, indicating a potential cyber crime incident."
,,i got hit by car today .,Road accident,"The exact location is mentioned as ""20, 78"", but it could not be identified as a known or specific location. It seems more likely to be a set of GPS coordinates, rather than an address or place name. It may be necessary to contact the user for further clarification.","The user has stated that they were involved in a car accident. They have not indicated any further details, such as the number of vehicles involved, injuries, or parties at fault. It may be useful to contact the user for more information to determine if emergency services are required."
,,my daughter is in trouble.,Women help desk,"Home or nearby area, depending on the context of the user query.","Daughter in trouble, no other specific details provided."
,,my daughter is in trouble.,Women help desk,"Home or nearby area, depending on the context of the user query.","Daughter in trouble, no other specific details provided."
,,my daughter is in trouble.,Women help desk,"Home or nearby area, depending on the context of the user query.","Daughter in trouble, no other specific details provided."
,,my daughter is in trouble.,Women help desk,"Home or nearby area, depending on the context of the user query.","Daughter in trouble, no other specific details provided."
,,i got car accident today.,,,
,,my daughter needs help.,Women help desk,Not provided,Daughter needs help.
,,my daughter needs help.,Women help desk,Not provided,Daughter needs help.
,,my daughter needs help.,Women help desk,Not provided,Daughter needs help.
,,i need help for medical emergency.,Public healthcare,None,Medical emergency.
,,i need help.,Issue Recorded,None,None
,,i need help for my daughter.,Women help desk,None,The user is seeking help for their daughter.
,,my card got blocked seems suspicious.,Cyber crime incident,[User Location],"Card got blocked, seems suspicious."
,,i am not feeling well today.,Public healthcare,User's current location (if mentioned) or assume user's home address.,User's health condition.
,,i am not feeling well today.,Public healthcare,dsfffffffffffff,sdfffffffffffffffffffff,dsffffffffffffffffffffffff,dsfffffffffffffffffffffffff,
,,"i am not feeling well today. and tommorrow

",Public healthcare,The user did not provide a specific location. Please ask for more details.,"The user is not feeling well and mentioned tomorrow. This could be a medical concern. The user may require assistance from a healthcare professional. Please advise the user to contact their doctor or visit a hospital if the situation worsens. If the user is in immediate danger or experiencing a severe medical emergency, they should call emergency services without delay."
,,"i need help now , medical emergency.",Public healthcare,"User's current location (if available) or ""User's location not provided""",Medical emergency.
,,"i need help
",Issue Recorded,N/A,"User expressed a need for help but did not provide sufficient context for a specific category or incident. Hence, the system will record the issue for further review and follow-up."
,,i am in some medicle emergency.,Public healthcare,Not provided,Medical emergency.
,,i got some medicle emergency.,Public healthcare,Not mentioned,Medical emergency
,,i am in trouble.,issue recorded,unable to determine,user is in trouble
,,i need help,Issue Recorded,Not provided,User needs help. The category of the incident could not be determined from the user query.
,,i need help,Issue Recorded,Not provided,User needs help. The category of the incident could not be determined from the user query.
,,i am in trouble/,issue recorded,Could not determine from query,User is in trouble. Please provide more details for proper assistance.
,,i am in trouble needs medicines.,Public healthcare,User's current location is not mentioned in the query. It is important to contact the user to get their location details for providing appropriate assistance.,User is in need of medicines.
,,i need medicines.,Public healthcare,"""not specified""",User is asking for medicines.
,,i am in trouble.,issue recorded,unable to determine,user is in trouble
,,"my daughter is in trouble
","Women help desk, Child safety","home, neighborhood",daughter in trouble.
,,"my daughter is in trouble
","Women help desk, Child safety","home, neighborhood",daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,Not provided in the query.,Daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,Not provided in the query.,Daughter in trouble.
,,i need medical emergency,Public healthcare,"User's current location (if provided) or the assumed location from the query context. In this case, it is not explicitly stated, so it is assumed to be the user's current location.",Medical emergency.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,my daughter is in trouble.,women help desk,home or specific address if mentioned,daughter in trouble.
,,i got involved into an accident,Road accident,Not provided in the query,User mentioned involvement in an accident.
,,my daughter is in trouble.,women help desk,Not provided in the query.,Daughter in trouble.
,,i got into trouble today with a man pointing gun on me .,murder / serious crime incident,Not specified in the query.,The user was involved in a potential life-threatening situation with an armed man. This is a serious crime incident and it's important to contact local law enforcement immediately for assistance.
,,i got hit by car today.,murder / serious crime incident,Maple Street,"[Additional details related to the incident, e.g., ""victim's name, suspect"
,,i got car accident today near cubbon park.,Road accident,Cubbon Park.,
,,i got involved in car accident today.,Road accident,Not specified in the query,User was involved in a car accident on today's date.
,,i saw 2 murder today.,murder / serious crime incident,"[Current Location], [City], [Country]",2 murders occurred at the current location.
,,my 26 year old daughter fainted near block d.,"Women help desk, Child safety",Block D,"The user's 26-year-old daughter fainted near Block D. This might be a child safety issue, and it is recommended to contact the women help desk for assistance."
,,my 26 year old daughter fainted near block d.,"Women help desk, Child safety",Block D,"The user's 26-year-old daughter fainted near Block D. This might be a child safety issue, and it is recommended to contact the women help desk for assistance."
,,i got involved in accident today by truck.,Road accident,Not specified in the query.,The user was involved in a road accident with a truck.
,,my credit card got hacked today.,Cyber crime incident,"""N/A"" (since there is no location mentioned in the query)","""credit card got hacked"""
,,my daughter is in trouble.,"Women help desk, child safety",Home or school (depending on context),"Daughter is in trouble, possibly requiring help or protection."
,,i am in trouble.,Issue Recorded,Unknown,None
,,i need medicle help,Public healthcare,Not provided,User is seeking medical help.
,,i need medicle help,Public healthcare,jondish,,sdsa,sadasd,sdaasdasdasdasd
,,i got involved in car accident today.,Road accident,Not specified in the query,User was involved in a car accident on today's date.
,,i got involved in car accident today.,Road accident,cubbon park,,,yes,
,,i got involved in car accident today.,Road accident,Not specified in the query,User was involved in a car accident on today's date.
,,i got involved in car accident today.,Road accident,cubbon park,now,3,yes,yes'
,,my daughter is in trouble.,"Women help desk, child safety"
,,my daughter is in trouble.,
,,my daughter is in trouble.,
,,my daughter is in trouble.,"Women help desk, child safety"
,,i got into medical emergency now.,,,
,,i got into medical emergency now.,
,,my daughter is in trouble.,,,
,,my daughter saw 2 murder today.,murder / serious crime incident,home or specific address if provided in query,daughter witnessed a murder.
,,my daughter saw 2 murder today.,murder / serious crime incident,edwf,ytutu,iyuiyu,uyiyui,yuiyui,u8oiuo
,,my daughter saw 2 murder today.,murder / serious crime incident,home or specific address if provided in query,daughter witnessed a murder.
,,my daughter saw 2 murder today in cubbon park,murder / serious crime incident,Cubbon Park.,
,,my daughter is in trouble. needs help.,Women help desk,dfdsf,,,,
,,my daughter is in trouble.,Women help desk,,,,,
,,my daughter is in trouble.,Women help desk,3-idiots,dfsdf,drret,srtreter,yes
,,my card gets blocked.,Cyber crime incident,yes,dasdas,fdg,dsfsd,vbcb,fdgdsg
,,my daughter is in trouble.,Women help desk,serious.,hhlhlkh,hlihkh,yes,yes
,,my daughter is in trouble.,Women help desk,fsg,gfdgdfg,rdgdfgdf,yesss,dgsgsdg
,,i am in trouble.,,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,sdfsd,xvxcvcxv,rfdsfdsfdsf,dsfsdfdsf,dsffsdfdsf
,,my daughter is in trouble.,Women help desk or child safety,,
,,my daughter is in trouble.,Women help desk or child safety,,
,,my daughter is in trouble needs help.,Women help desk,,
,,my daughter is in trouble .,Women help desk,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,asdasdds
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,asdasdds,sadsad
,,i need medical emergency.,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,vxcv
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,vxcv,sdfsf
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,vxcv,sdfsf,dsfsdf
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,vxcv,sdfsf,dsfsdf,dsfsdfsd
,,i need medical emergency,Public healthcare,,
,,i need medical emergency,Public healthcare,vxcv,sdfsf,dsfsdf,dsfsdfsd,dsfdsf
,,i need doctor help.,Public healthcare,,
,,i need medical emergency.,Public healthcare,,
,,"my card is blocked , seems suspicious.",Cyber crime incident,,
,,i need medical emergency.,Public healthcare,,
,,i need medical emergency.,Public healthcare,,
,,i need medical emergency.,Public healthcare,User's current location [Determine this through IP address or other means if necessary],Medical emergency.
,,i need medical emergency,Public healthcare,Not provided in the query. Please ask for the location or address if possible.,Medical emergency.
,,i need medical emergency,Public healthcare,diabeties,dsfs,sdfsdf,sdfd,sdfd
,,i need help for my daughter.,Women help desk,Home,daughter
,,i need help for my daughter.,Women help desk,dsfsdf,dsfdsf,sdfds,sdfsdf,sdfsdf
,,i see fire near my building.,Fire accident,"""near my building""",None.
,,i see fire near my building.,Fire accident,near my building.,dsfs,sdfdsfsd,dsfdsfdsf,sdfsdfdsf
,,i need medical emergency,Public healthcare,Not provided in the query. Please ask for the location or address if possible.,Medical emergency.
,,i need medical emergency,Public healthcare,sdfsd,dsfdsf,sdfds,ll,",m"
,,i need medical emergency,Public healthcare,Not provided in the query. Please ask for the location or address if possible.,Medical emergency.
,,i need medical emergency,Public healthcare,dcsdc,sdfsdf,sdfsdf,sdfsdfdsf,dsfsdsdfsd
,,i need medical emergency,Public healthcare,Not provided in the query. Please ask for the location or address if possible.,Medical emergency.
